screen	key	translatable	value	value-korean	description	uses-in-android	uses-in-ios
MobileVerification	Title	TRUE	Mobile Verification	휴대폰 본인인증	휴대폰 본인인증 화면 제목	TRUE	TRUE
MobileVerification	AgreeToAll	TRUE	Agree to all of the below (Require)	약관 전체동의(필수)		TRUE	TRUE
MobileVerification	Terms1Title	TRUE	Terms of use for mobile phone user identification service	휴대폰 본인확인서비스 이용약관		TRUE	TRUE
MobileVerification	Terms2Title	TRUE	Terms of use for mobile phone company	휴대폰 통신사 이용약관		TRUE	TRUE
MobileVerification	Terms3Title	TRUE	Personal information collection and user agreement	휴대폰 개인정보 수집 및 이용 동의서		TRUE	TRUE
MobileVerification	Terms4Title	TRUE	Mobile phone unique identification information  processing agreement	휴대폰 고유식별정보 처리 동의서 		TRUE	TRUE
MobileVerification	Name	TRUE	Name	이름		TRUE	TRUE
MobileVerification	BirthDate	TRUE	Birth Date(YYYYMMDD)	생년월일(YYYYMMDD)		TRUE	TRUE
MobileVerification	PhoneNumber	TRUE	Phone Number	휴대폰 번호		TRUE	TRUE
MobileVerification	AuthNumber	TRUE	Authorization Number	인증 번호		TRUE	TRUE
MobileVerification	Male	TRUE	Male	남		TRUE	TRUE
MobileVerification	Female	TRUE	Female	여		TRUE	TRUE
MobileVerification	Resident	TRUE	Resident	내국인		TRUE	TRUE
MobileVerification	Foreigner	TRUE	Foreigner	외국인		TRUE	TRUE
MobileVerification	MobileCarrier	TRUE	Mobile Carrier	통신사		TRUE	TRUE
MobileVerification	Resend	TRUE	Resend	재전송		TRUE	TRUE
MobileVerification	RequestAuthNumber	TRUE	Request Authorization Number	인증번호 요청		TRUE	TRUE
MobileVerification	ConfirmAuthNumber	TRUE	Confirm Authorization Number	인증번호 확인		TRUE	TRUE
MobileCarrier	SKT	TRUE	SKT line phone	SKT		TRUE	TRUE
MobileCarrier	KT	TRUE	KT line phone	KT		TRUE	TRUE
MobileCarrier	LG	TRUE	LG U+ line phone	LG U+		TRUE	TRUE
MobileCarrier	SKT_MVNO	TRUE	SKT card phone	SKT 알뜰폰		TRUE	TRUE
MobileCarrier	KT_MVNO	TRUE	KT card phone	KT 알뜰폰		TRUE	TRUE
MobileCarrier	LG_MVNO	TRUE	LG U+ card phone	LG U+ 알뜰폰		TRUE	TRUE
LanguageSelect							
Main							
AcceptanceTerms							
IDConfirmation							
AccountVerification							
Bank	Nonghyup		NH Nonghyup Bank				
SetTransferPasscode							
RegistrationCompleted							
FingerprintAuthentication							
EnterPasscode							
MainSidebar							
TransferRequestBuild							
TransferRequestConfirm							
TransferRequestComplete							
TransferCertificate							
TransferHistory							
AccountInformation							
Information							
Settings							
CustomerCenter							
DeactiveAccount							
TEST	OnlyAndroid	TRUE	Only Android	안드로이드 한정		TRUE	FALSE
TEST	OnlyIOS	TRUE	Only IOS	iOS 한정		FALSE	TRUE
TEST	UnTranslatedText	TRUE	Untranslated text			TRUE	TRUE
TEXT	UnTranslatableText	FALSE	Untranslatable text	번역 불가능 문장		TRUE	TRUE